Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	-0.99437886	-1.0598402	---	-1.2920305	-1.3231281	-0.956263	-1.0649115	0.6655256	1.1128906	-0.9263475	-1.1784405	-0.97534305	-1.176379	-0.77912337	-0.7592332	-1.3023231	0.8867859	-1.135492	-1.029378	-1.0427684	0.9276031	0.8036857	1.2497637	1.2960178	-0.80302536	1.5423564	-0.8525208	0.9709859	-0.882844	-0.9874089	-1.0798742	-0.952911	1.2766412	-0.72309697	-0.80344534	-0.7413277	0.71978986	-1.0169098	-0.9683889	-0.88126695	-0.98866034	-0.9314096	-1.3102866	0.8489499	-0.96904474	1.1657535	-1.3378457	-0.86572564	-1.208218	1.1921428	-1.0211939	-1.6914959	-1.1765944	0.8458723	-1.2244556	-1.2489011	-1.3805579	0.6872316	-1.0182948	1.0322664	-0.9988326	0.8361837	-1.0108799	0.99043936	0.9743508	-0.9297574	-0.7982785	-0.83661604	-1.7518022	0.9754109	1.0048649	1.0316432	-0.9935812	1.0760652	-0.8884703	0.99065024	-1.0982442	-1.2220476	---	0.877502	-1.0008786	0.87884754	-1.2790345	1.4050463	-1.3099391	0.74880826	-0.7546369	1.4209621	1.1828982	1.3024957	-0.95983326	-0.77600974	-0.7394005	0.9764686	-0.68294847	-0.87678623	-1.1833991	0.8530264	2.0119257	-1.3420615	-1.3212986	-0.8804159	1.0100181	-1.2801086	0.99181724	-0.97733253	0.87200594	-0.77744883	1.1349263	0.6474436	-0.9610285	-0.9221299	1.6667297	-0.9672797	0.92748886	-0.926982	0.96155226	-1.2357881	0.7380462	1.0842084
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	-1.0344342	-1.0097877	-0.5553667	-1.3996979	-1.0747259	-0.97788894	-0.97740406	0.5964509	-0.922657	0.9806248	-0.7231198	0.99398226	---	-0.86585635	-0.6943496	---	0.6615554	-0.91400796	-0.96222746	-0.93124443	1.0578207	0.9257938	1.023666	1.1485168	-0.94345814	---	-0.949782	0.9349226	-0.9210494	-1.168851	-0.9808556	0.96513325	-0.80219585	-0.8856174	-0.94298613	-0.61463535	0.83708733	---	0.8222039	-0.8395224	1.1973733	-0.9022606	-1.2823616	-0.5631377	-1.1946232	1.2041769	-1.1200233	0.91842383	-1.1717292	1.0138576	-1.1535441	---	-0.593209	0.93496376	-1.3030672	-0.84628403	---	0.6749624	-1.0779184	0.899422	-0.8773047	---	-0.8938008	0.97433764	0.906483	-0.95839345	-0.99959904	---	-1.2624254	1.0539674	0.9394942	---	-0.8797051	1.0136696	0.7752059	1.1255041	-1.049127	-1.0777576	---	0.8971821	-1.093361	0.98157156	0.72244275	---	-0.9567905	0.79613346	-0.73591536	1.3725647	0.8930762	1.1241846	0.73776793	-0.75248146	1.0014317	1.1559573	---	-1.2294614	---	---	1.8451593	---	-1.1998998	-0.7853267	0.9612387	-1.2194391	1.0914036	-0.9570676	0.7945716	1.0287905	1.0468602	---	-0.9756988	-0.8174987	---	-0.8737514	0.85774493	-0.8813712	0.85687715	0.75534356	0.7317145	1.080237
AFF4	-1.0302584	-1.0326772	-0.57213223	-1.423956	-1.0815222	-0.98540294	-1.0392452	0.5664839	-0.93507206	0.9540089	-0.73516995	0.99871385	---	-0.8827721	-0.6926987	---	0.6168393	-0.93083656	-0.97553295	-0.87996954	1.0751534	0.9284069	0.99361086	1.1553493	-0.8778381	---	-0.9454406	0.9668925	-0.87080824	-1.1656036	-0.9987661	0.9966257	-0.62523574	-0.82176024	-1.0121065	-0.58707756	0.9164039	---	0.79474026	-0.7669339	1.191436	-0.9148247	-1.2822682	-0.5481759	-1.1250821	1.2391832	-1.1801178	0.85852706	-1.0923371	1.0199299	-1.1335696	---	-0.64030796	0.9025079	-1.3047539	-0.9070853	---	---	-1.0971996	0.890688	-0.85335755	---	-0.88648915	0.97403395	0.9249749	-0.9415654	-0.98230225	---	-1.3375733	1.0514199	0.92015237	---	-0.87910944	0.9606287	0.80877644	1.1472036	-1.0763326	-1.130767	---	0.96307576	-1.0867213	0.9751697	0.77368796	---	-0.98124474	0.7305316	-0.66913515	1.3916504	0.92433476	1.1800429	0.73227626	-0.7157998	0.9838994	1.1630952	---	-1.2309723	---	---	1.9666802	---	-1.3182948	-0.77436537	1.006964	-1.2731513	1.114937	-0.93616354	-0.8137589	0.9504526	1.0343308	---	-0.9112296	-0.80781853	---	-0.8519239	0.8749384	-0.8979926	0.8336881	0.7037189	0.7253365	1.0773424
AGO1	-1.0883653	-0.9902952	-0.6422753	-1.1760186	-1.1152651	-0.9871328	1.0538949	0.890707	-1.0555695	1.0186138	-0.86683077	1.0699071	---	-0.93649447	-0.7666189	0.73838204	-0.759289	-0.9541851	-0.9529564	-0.9708062	1.0591443	0.9788294	1.0810188	1.1932207	-0.8748545	---	-1.0805408	1.0096221	-0.9192854	-1.2167344	-0.9694887	0.9011474	0.77228165	-0.7629002	-1.0340184	-0.7103416	-0.93041927	---	0.81830347	-0.82078755	1.1254864	-0.95235723	-1.3806661	-0.67955077	-0.89242727	1.1792865	-1.0398724	0.85982543	-1.1296191	0.97200507	-1.0059801	---	-0.72499025	1.1146299	-1.2904842	-0.93282485	---	0.8515358	-1.0242629	0.952554	-0.9503765	---	-1.1166362	0.9632264	0.9554943	-0.958254	-0.8978427	---	-1.1205192	1.113301	0.9487965	---	-0.94794506	0.9668319	0.8376232	1.1323403	-1.1036881	-1.0751828	---	0.9111531	-1.1291522	1.0073886	---	---	-1.0159652	0.79533565	-0.74767965	1.3211957	0.9626194	1.2475557	0.78703284	-0.77013636	0.939628	1.2463511	---	-1.3145552	0.9417543	---	1.7179168	---	-1.0558212	-0.89617985	1.0554564	-1.0478867	1.1193572	-0.980279	-0.9717035	0.9987407	1.0425843	0.6979581	-1.0691315	-0.8805081	---	-0.9334057	0.9378977	-0.88470125	0.97924435	0.7225196	0.90517926	0.91656977
AGO2	-1.1989138	-0.8549512	-0.5916372	-0.9934809	-0.96954495	-1.0618172	1.1472783	0.9520367	-0.86883724	1.012864	-0.88445956	1.0143306	-1.1221896	-0.95580304	-1.1707482	0.93556744	-0.7320095	-0.9810192	-0.9707764	0.8990949	1.0099639	1.1723542	1.0917938	0.9259166	-0.8688589	-0.8277613	-1.0380422	0.9041642	-0.83439016	-1.1092291	-1.0472908	1.1243191	-0.8417718	-0.7861463	-1.0058986	0.9169816	-1.254062	-0.99810654	-0.9404314	-0.9113479	1.1318096	-0.92607003	-1.2989032	-0.8628178	-0.6836382	1.0953872	-1.0019822	-0.95308876	-1.0181979	1.0703449	-0.9147073	-1.4196306	-0.6807872	1.1954225	-1.3606228	-0.9749656	-0.9185805	0.90760696	-1.0388077	0.96613437	-0.8433296	-0.85269535	-1.1519178	-1.1977584	0.9046961	-0.87621886	-1.1021028	-0.91340214	-0.96364963	1.029052	0.8976154	0.9380306	-1.0683692	-0.8757726	0.9205629	1.0722514	-1.1254345	-1.1055821	---	0.8700987	-1.0762542	1.1155223	-1.1027416	0.85533655	-0.8752027	0.8786629	-0.7868797	1.1825668	0.93743914	1.1250924	0.89235425	-1.0627856	0.85973346	1.246432	-0.7166168	-1.2992249	1.1099259	-0.988599	1.3764368	-1.0410979	-1.0704335	-0.98244315	0.88190573	-1.0137668	0.97029394	-0.92425174	0.84873766	-0.8003985	1.0471588	0.8330792	-0.95166147	-0.95938444	0.8320105	-0.9859292	0.94943154	-1.1391162	1.2398747	0.91765296	0.8804036	1.0393804
AHR	-0.9995773	-0.96517074	-0.57449394	-1.3488338	-1.081256	-0.98810774	-1.058432	0.7360247	-0.932955	0.92024505	-0.9339452	1.0090249	---	-0.85973316	-0.7639705	---	-0.64022464	-0.95494735	-0.99991286	-0.92455035	1.0810579	0.925727	1.0227056	1.1454291	-0.82718766	---	-0.9206255	0.9963297	-0.8599576	-1.1122562	-0.9568204	0.8900074	0.71625495	-0.69559973	-1.0060117	-0.56080323	0.92128456	---	0.7804725	-0.7334155	1.15832	-0.91425085	-1.2468054	-0.60129875	-1.0280002	1.1448475	-1.1046604	0.8645522	-0.98567855	1.0152885	-1.0580868	---	-0.74706656	0.9228136	-1.1563224	-0.97878474	---	0.665246	-1.0254433	0.9401514	-0.8752551	---	-0.89578414	0.97932345	0.93482274	-0.93395925	-0.82846105	---	-1.370509	1.0671571	0.94692504	---	-0.90518624	1.0576627	0.74896705	1.1307534	-1.0819297	-1.002957	---	0.9178801	-1.070048	0.99461216	0.7548929	---	-1.0138203	-0.7364973	-0.70611364	1.2946192	0.9480035	1.1645885	0.7569876	-0.79578274	0.93452954	1.0964445	---	-1.0942409	---	---	1.7849995	---	-1.2489908	-0.80883527	1.0238396	-1.1777177	1.142166	-0.9344257	-0.8749222	0.85795164	1.0208675	0.587303	-0.9797359	-0.7940741	---	-0.89793444	0.86863387	-0.87656766	0.86270505	0.66794336	0.77783084	1.1065745
AHRR	-1.0005928	-1.0247649	0.81217843	-1.5547879	-1.0028372	-1.0940083	-1.4421023	0.5435335	0.93562096	0.638524	-1.0154434	0.9377879	-0.8542677	0.85689306	-0.828154	-1.1630682	-0.79524297	-0.9078618	-1.0378573	-0.9389789	1.061015	-0.99160886	-0.9103102	1.5336174	-1.0216625	1.4069926	-0.7153796	1.0813046	-1.1007301	-1.0038005	-1.110138	0.9038256	-0.66446394	-0.7454168	-0.9656772	-0.74891454	1.1864676	-1.4963557	0.9113621	-0.8519255	1.0435776	-0.9052779	-1.0875332	0.90851647	-1.3028728	0.92592466	-0.9240306	0.9644625	-0.9634743	1.0121036	-1.1134202	-1.4116818	-0.78520143	0.74759775	-0.97995013	-1.0733428	-1.0268638	-1.1469482	-1.2323133	0.9657418	0.930762	-0.91042364	-0.9004199	0.96055347	1.157791	-0.94328016	-0.9062306	-0.9232815	-0.9847167	-1.2974881	0.9203173	0.79198754	-1.0415744	1.1422963	0.92727125	1.0738504	-1.0499008	-0.99454767	1.071347	0.8740327	-1.1519681	-0.7368255	-0.8616254	0.8720764	-1.0529605	-1.0077341	-0.69847447	1.4043521	0.8459321	1.1978759	-1.089852	-1.0738626	1.2092681	0.892122	1.0373904	-0.8995936	-1.0930302	-0.7968957	1.4896132	-1.0879539	-1.3640339	-0.88004756	-0.9156973	-1.5293629	1.1159818	-0.89274615	-1.0231041	-1.2824999	0.9647168	0.90596193	-0.7770448	-0.77434117	0.8905354	-0.95726645	0.95000905	0.881094	-0.8198568	0.8026257	0.6794547	-1.0031811
AMH	-1.0979592	-0.7099198	1.0014714	-1.4080474	-1.2158428	-0.5794376	-0.77862424	-0.8366847	1.3513485	0.74310154	-0.86829233	0.9408757	-1.437795	0.8444228	0.4589974	-1.3533316	0.7023482	-0.81805545	-1.4871818	1.3123266	-1.1158957	-0.58351845	1.2969897	1.1615944	-1.0873832	0.7639022	-0.8221655	-1.0010649	-1.0403842	-0.963339	-0.55694145	-1.0434848	-1.3946404	-1.0439914	0.6288056	-0.41785255	-0.64644533	-0.6756436	0.6832163	-1.0010979	-0.6779771	-0.4624513	-1.2070853	0.7811592	-1.4585326	0.6059256	-1.2936128	1.4038575	-1.2548574	0.91008914	-0.8650286	-1.3301327	-0.7737344	-0.75650907	1.0449647	-1.0598949	-0.9330667	-0.5031661	0.5234173	0.7315964	-0.55274254	-1.0956825	-1.2033138	1.1827071	1.1885579	-0.8641353	-1.1012684	0.8623569	-1.3839163	0.36195013	1.0295056	0.98478734	1.2064656	1.0520372	-0.6616706	1.151241	0.8652562	-0.41645956	1.6953994	1.071664	-1.1800336	-0.9116431	-0.6101004	1.2088503	-0.9633744	0.8451059	-1.1422285	0.6663377	-0.8819692	-1.4004754	0.4399272	-0.6509407	0.5824092	-0.6489447	0.5138687	-0.5334138	-1.1843188	1.054342	1.695368	1.0265915	-1.1234051	-1.0145335	-1.0638455	-1.1760255	0.7349114	-1.4802476	0.9178444	1.0404221	0.7992716	0.7241598	-0.74920523	-0.688327	0.45630583	-1.2404952	1.1278223	-0.57709867	0.66551906	1.2208762	-0.6575739	-0.63012385
APC	-0.95293325	-1.0211084	---	-1.3029172	-1.2355719	-0.9502171	-1.1167811	0.7919632	-0.93187064	-0.93186384	-1.2049658	-0.9909968	-1.0689487	-0.829114	-0.85365033	---	0.7635662	-1.1663773	-1.0063955	-1.0260421	1.1780858	0.79329115	1.3028139	1.4740921	-0.6868282	---	-0.90175855	1.0305896	-0.8794919	-1.0171288	-1.0263282	0.8274479	1.2857964	-0.5448009	-1.0146177	0.6442683	0.9259285	-1.0427668	---	-0.757569	1.0874497	-0.89176387	-1.2477578	-0.66347134	-0.82158923	1.1325591	-1.26196	-0.9954166	-1.0951827	1.2106656	-0.8988798	-1.8557885	-1.1301675	1.0711898	-1.2932628	-1.1789602	---	---	-1.130078	1.024883	-0.90569603	0.74371946	-1.0333401	1.0270536	0.9959359	-0.974772	-0.77532417	-1.0049367	-1.671472	0.97213626	0.9876259	0.9779105	-0.94701165	0.9996054	---	1.1334189	-1.2496474	-1.2463887	---	0.96610504	-1.0719647	0.87178975	-1.2721865	1.286471	-1.1217846	-0.8079089	-0.72645223	1.4044143	1.0960118	1.1563771	-0.85677826	-0.84443563	0.83557576	1.1012024	---	-0.9953849	---	---	1.7175336	---	-1.2741284	-0.878957	1.1321025	-1.2775025	1.0723734	-0.9246327	-0.7971106	-0.8332844	1.0523449	0.6243445	-1.0313449	-0.7745458	1.2050385	-1.0082875	0.97788036	0.99209523	0.95955795	-1.44885	0.89211124	1.2954113
APOBEC3B	-0.99746704	-0.6492891	-1.225843	0.7847552	-1.2285132	-1.2178178	-1.5927442	0.836282	0.7413881	0.54145414	-1.5146215	-0.7618801	-0.740983	-1.3991278	-1.2458587	0.7159215	-0.7089455	-1.2655392	-0.9519047	-0.86963165	1.00555	-0.9046891	1.1409881	-0.85149425	1.1860205	1.1504703	-1.2983481	1.385478	0.96572936	-0.8343795	-0.8586951	0.68650275	1.1669663	0.9591061	-0.63804185	-1.1275104	1.3417333	0.74778193	0.6928902	1.4173889	0.9286984	1.2109959	-0.6619884	1.2719582	1.0267305	-1.4611062	-1.3022096	-1.4374399	0.599823	1.3038384	1.1656533	1.0879613	-1.6485598	0.67329437	1.1811392	-1.2417644	1.5834521	0.96489614	-0.9253478	1.0328815	-1.0232053	1.0054792	-1.4440227	1.2582438	-1.3883609	-1.0285473	-0.88618505	1.5266737	0.82335913	-0.9027363	0.85491043	-1.0098641	-0.79626256	-1.1977121	1.265758	0.79446286	-0.81831884	-1.3971152	-1.1518621	1.2223066	-0.7197437	-1.0708671	1.3633999	-1.677015	-0.8594598	1.1362821	1.1645833	0.7474211	-0.94486713	1.340641	0.7701154	0.9119799	1.1424541	-0.66033965	-0.8965916	1.1323662	-0.9543972	-1.5102522	0.61086154	-1.2416068	-1.0754333	-0.9485309	0.7523335	-1.2825333	0.97296697	0.7419197	1.0249375	-0.99814075	0.5045527	0.98328424	1.6890346	0.8648659	0.78957313	-0.87427956	0.838043	-1.0648316	0.83777034	0.81580764	1.1540546	-1.2820978
AR	-1.0534738	-0.99747235	-0.9015103	-1.2743905	-0.9091592	-1.0317562	-0.9537654	0.8167627	-1.0514442	0.99870265	0.9278169	0.95937073	---	-0.91817707	-0.70658326	0.803049	0.7531092	-0.8607961	-0.95443845	-0.90213394	-1.0017427	0.92423624	0.9273459	0.97781533	-0.8572201	---	-1.0734483	0.9653543	-0.9935824	-1.1839482	-0.9576014	1.0852165	-0.94005483	-1.0024514	-1.0842022	-0.76181483	0.9774682	---	0.9580341	-0.8692238	1.1074076	-0.93788606	-1.2900947	-0.7084736	-1.2569036	1.1826006	-1.1110786	1.0477165	-1.1351751	0.9652237	-1.0924894	---	-0.6390353	1.0207907	-1.1845751	-0.7933839	---	0.79190534	-1.0077057	0.8457397	1.0275105	---	-0.9910057	0.9469948	0.9029798	-0.9316882	-1.0238758	0.87023896	-1.1546589	1.0004127	0.93884087	---	-0.8856818	1.0465944	0.94798595	1.1681125	-0.96260613	-1.0392052	---	0.9986167	-1.055022	1.0433369	1.0225439	---	-0.8554228	0.7973185	-0.80658513	1.2825851	0.9356102	1.1011955	0.92798793	-0.78928566	1.0358351	1.1620529	-0.58725363	-1.2957231	1.0090516	-0.7874163	1.6128109	---	-1.1929746	-0.86897177	1.0298008	-1.1105146	1.0543884	-0.96124077	-0.96630275	0.96976566	1.0521206	0.67786825	-1.0318894	-0.88582027	-0.76952934	-0.8256454	0.9337748	-0.98113626	0.87614316	0.93709767	0.96673197	0.9564601
ARID1A	-1.0369946	-1.043288	-0.68657714	-1.363253	-1.0779347	-1.0128471	-1.1409302	0.8172933	-0.94275403	1.0576289	-0.922429	1.040596	-0.93826836	-0.9055273	-0.88211423	---	-0.8297176	-1.1437724	-0.9831433	-0.9657485	0.9720574	0.9214463	0.9839269	1.259809	-0.98706466	---	-1.0513111	1.0636498	-1.0059885	-1.1474967	-1.1029216	0.9703232	0.8704118	-0.7814054	-1.010546	0.80379283	1.0948038	---	---	-0.87128645	1.2377614	-0.8166724	-1.1321248	-0.7861562	-1.0041273	1.0251602	-1.1479275	0.8885178	-0.80647683	1.0852087	-1.1247386	-1.488716	-0.8599331	0.8069021	-1.2058774	-0.9737996	-0.8612372	0.6900877	-1.2304758	0.92334384	-0.890435	-0.8729439	-1.030159	0.9761982	0.8933582	-0.9680242	-0.85217977	-0.8952719	-1.2362491	1.0916346	0.9517957	-0.76863945	-0.912139	0.9950193	0.8265657	1.1439788	-1.1063377	-1.0302745	---	1.0388072	-1.0990177	1.0170822	0.83372027	0.93131626	-0.97879803	-0.95463103	-0.79392505	1.2419738	0.99860585	1.0440792	0.7855288	-0.92731875	1.1134615	1.2030982	-0.5722439	-0.9317441	0.7704334	-0.8184415	1.549245	---	-1.1779263	-0.816919	1.1263307	-1.3103063	0.9737973	-0.9267645	-0.8622395	-0.9632648	1.0227375	0.67722756	-0.90468043	-0.9106928	0.92020386	-0.9282939	0.90165055	-0.91803056	0.9519266	0.7464284	0.82840675	1.0769147
ARID1B	-0.8854386	-1.0239179	-0.5736518	-1.295786	-1.1315258	-1.0560308	-1.1388457	0.7737003	0.95866853	-0.87964135	-1.1825733	-0.9629524	-0.8614165	-0.8790789	1.0219998	-1.187265	-0.9549744	-1.0368878	-1.0902675	-0.92790407	0.9918249	-0.8676394	1.1283005	1.3841214	-0.8598573	1.2442099	-0.89197123	1.1042097	-0.87224287	-0.99540275	-1.0236775	0.7879661	0.8578803	0.8341647	-1.0840387	-0.7663061	1.0219493	-1.2089211	0.8434698	0.8016687	1.1767833	-0.9469186	-1.0494313	0.8110478	-0.8163994	1.1691059	-1.2299974	1.0242594	-0.7761304	1.1270794	-0.91504747	-1.5114766	-1.0552044	0.8892679	-0.9556415	-1.0094526	-0.86993	---	-1.2714195	0.9658398	0.8882137	0.639135	-0.83298194	1.0367109	0.9361597	-0.97854203	-0.69604033	-1.1282791	-1.3356105	1.073012	0.96817863	0.86940414	-0.9065944	1.0174872	0.67649263	1.1232423	-1.0942882	-1.109073	---	1.0418615	-1.061853	0.8427403	-0.8594728	0.95574343	-0.9362537	-0.94068444	-0.81709355	1.2477394	1.0807782	1.1722775	-0.9824889	-0.94145393	1.0257747	1.1772697	-0.75873125	-0.98539186	0.85727704	1.0355319	1.2364562	-1.0288229	-1.2434572	-0.8630779	1.0911301	-1.1525195	1.1308099	-0.93326986	-0.88867646	-0.841143	1.0997034	0.6427556	-0.954778	-0.89191437	1.0174017	-1.0103319	0.9052123	-0.86938345	-0.9907434	-1.2362788	0.70531696	1.2664006
ARID2	-1.0200143	-1.0132607	-0.54093426	-1.3691714	-1.0668607	-0.9821405	-0.90288	0.6668412	-0.95823365	0.9333319	-0.6558107	0.97986084	---	-0.879785	-0.65961576	---	-0.5500088	-0.90199643	-0.9366596	-0.8821865	1.0528469	0.8988122	1.02006	1.1402408	-0.78485936	---	-0.983793	0.9293595	-0.8738495	-1.1668197	-0.9669194	0.9828943	-0.63946384	-0.82523066	-1.010211	-0.6579622	0.84708214	---	0.84366363	-0.7313664	1.1461475	-0.90444803	-1.3703008	-0.542294	-1.0441244	1.1841292	-1.1720912	0.8245622	-1.2177736	0.95371807	-1.0770446	---	-0.58010995	0.9711672	-1.3288683	-0.84115845	---	0.7207423	-1.0639229	0.87962496	-0.8363444	---	-0.9555536	0.9592388	0.90497935	-0.9237162	-0.96617293	0.71391004	-1.1868492	1.0548295	0.9032243	---	-0.8724899	0.9505829	0.80628896	1.1479206	-1.0309882	-1.128529	---	0.8587658	-1.0790117	0.9802668	0.78274494	---	-0.9437275	0.68988574	-0.67544585	1.3977443	0.91150135	1.1870713	0.77536887	-0.6798453	0.9179367	1.2084405	---	-1.2509652	0.851729	---	1.8846897	---	-1.1578548	-0.81752944	0.9924899	-1.2285862	1.0716527	-0.9206957	-0.86920244	1.0242833	1.020689	---	-0.9693085	-0.762434	---	-0.865456	0.8549378	-0.9292871	0.8447943	0.6491416	0.7616027	0.98051214
ARID3A	-0.9429346	-1.1163782	---	-1.3962262	-1.2786586	-0.9682969	-1.1378225	0.6430815	0.9338135	0.86670035	-0.88824034	1.006207	0.78484875	-0.9021262	-0.7865744	-1.1649911	0.77822125	-0.9871862	-1.0766122	-1.0105736	1.00609	-0.8472783	1.1562902	1.3761911	-0.9287484	1.3629322	-0.8537826	1.0001179	-0.90600157	-1.0892489	-0.88254803	0.96779096	0.9808851	0.81847286	-0.944463	-0.7242461	1.0826029	-1.2656536	-0.8816077	-0.8939307	1.1129498	-0.8818748	-1.1128733	-0.7572638	-0.90769345	1.2767775	-1.1287594	0.8608036	-0.94309753	1.058571	-1.1426797	-1.6909634	-0.9166105	0.9226831	-1.1608607	-1.0466721	-1.1964436	---	-1.1479541	1.0007728	-0.88179314	-0.7559465	-0.81614894	0.93497705	0.9388871	-0.8981132	-1.0339147	-0.7912527	-1.27121	0.92701477	0.9420055	0.84581757	-0.9386692	1.113932	0.6886624	1.2137542	-1.0423429	-1.1390792	---	0.9663034	-1.0621505	0.9018068	-0.83975595	1.0316672	-1.0707555	-0.86050665	-0.77460223	1.151012	0.990315	1.149435	0.80536985	-1.0288328	0.9670254	1.0069859	-0.60599345	-0.877744	-1.0778918	0.9572483	1.5512584	-1.1804609	-1.3736342	-0.97262204	0.9497521	-1.2067331	1.0985725	-1.0345062	1.0768313	0.8866445	1.0406889	0.7738704	0.873708	-0.7342941	1.0527886	-1.0475146	0.98774844	-0.91220134	-0.99535	-0.9717328	0.69875664	1.0167177
ARID3B	1.4527241	-1.2032547	NA	NA	-0.9196014	-0.7729184	NA	NA	-1.4993818	-1.1326737	NA	0.8343258	NA	NA	NA	NA	NA	NA	0.828206	-1.4681407	1.3265758	-1.121139	NA	1.5954375	NA	NA	NA	0.9300893	NA	NA	NA	NA	NA	1.5216362	-0.9548598	NA	-1.9367472	NA	1.5519557	NA	-0.68805945	0.7755378	NA	-1.5900218	NA	-1.5748913	-1.7324054	NA	0.7716624	NA	NA	1.5778363	NA	0.93810606	1.0373653	NA	NA	1.701907	NA	1.0055351	0.74385333	NA	NA	-0.9243846	1.3499395	1.4378669	NA	NA	NA	0.6009568	1.1026744	-0.9464312	-0.96628726	NA	1.3614451	0.5414224	-0.9469617	NA	NA	-0.55543774	NA	1.1558311	1.0412022	1.1324894	NA	NA	-1.0034081	1.4924932	0.6837195	NA	1.0278317	NA	NA	0.7434184	1.0992061	-1.3207855	1.0376799	-1.2218311	NA	1.3696144	-0.861398	-0.66434175	-1.3306575	NA	-1.0260082	0.94621515	1.5135078	-1.2807301	0.806051	NA	NA	NA	NA	-1.2532816	-1.0093385	0.75692904	NA	NA	NA	NA
ARNT	-0.9778168	-1.0152359	-0.51575094	-1.3291525	-1.1220924	-1.0301334	-1.0639395	0.71774113	-0.96252227	0.9362596	-1.1847457	1.0013083	---	-0.83189654	-0.79521024	---	-0.7598523	-1.1457334	-1.01269	-1.095189	1.0973037	0.87768143	1.1217942	1.359604	-0.7805989	---	-0.87314343	1.0232574	-0.8827604	-1.090925	-1.071798	0.99548125	0.89866	-0.70814824	-1.0733068	-0.7255629	1.0606627	---	0.83326125	-0.7124728	1.1595535	-0.93366486	-1.20106	-0.68441474	-0.84284484	1.1629189	-1.1910921	-1.0212744	-0.91313976	1.1560999	-0.9035091	---	-0.9465267	1.1465944	-1.1397772	-1.0374458	---	0.7681895	-1.2438378	0.96421224	-0.87359387	---	-0.9735238	1.0240527	0.93866867	-0.95826113	-0.830927	-1.0666963	-1.2737192	1.1524693	1.0042214	-0.71845293	-0.930378	0.8776832	0.94084823	1.100388	-1.1167977	-1.1990676	---	0.97355866	-1.062042	1.010831	-0.9760631	0.86002165	-1.048644	-0.92928404	-0.7108672	1.3255199	1.1363766	1.2732065	---	-0.77976316	0.88669896	1.1533275	-0.58644384	-1.0318907	0.9454344	-0.768287	1.6111188	---	-1.1945617	-0.86957985	1.1073313	-1.2906486	1.0878987	-0.9370393	-1.0021493	0.92218274	1.0024482	---	-0.8762947	-0.824969	---	-0.95749915	0.90034956	-0.93270296	0.98145896	---	0.77984816	1.0641959
