Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
ADA2	-0.042805105	-0.072418414	-0.11742223	-0.09977175	-0.08996407	-0.047429584	-0.021871751	-0.08578326	-0.061447836	-0.08171297	-0.116858095	-0.04004121	-0.08485584	-0.07066107	-0.09277318	-0.046754856	-0.086639665	-0.038226277	0.033808287	-0.072503194	-0.037767947	-0.10573072	-0.03358711	-0.088405386	-0.13449553	-0.025307955	-0.053954873	-0.07944622	-0.08460113	-0.05276306	-0.104118936	-0.08366739	-0.076354705	-0.12772572	-0.09286209	-0.14252935	-0.06973127	-0.08010151	-0.065100916	-0.14087714	-0.06609426	-0.065195546	-0.06163524	-0.10545111	-0.13079171	-0.075625606	-0.07975026	-0.059275102	-0.12039816	-0.07919902	-0.07471098	-0.07682258	-0.077883825	-0.052806202	-0.1142637	0.053943012	-0.080898196	-0.09418057	-0.0963222	-0.036804456	-0.07224328	-0.099644974	-0.0812986	-0.052662328	-0.036686063	-0.041406136	-0.13066332	-0.06930667	-0.04104156	-0.07758768	-0.043047477	-0.09707004	-0.045009535	-0.07443399	-0.09559902	-0.048312977	-0.066184185	-0.07166507	-0.14549237	-0.066555224	-0.08446878	-0.08120843	-0.1048835	-0.107960746	-0.053314883	-0.09598151	-0.11453197	-0.022096243	-0.050320007	-0.07677196	-0.10571338	-0.06448515	-0.094405	-0.029507948	-0.08521145	-0.062934704	-0.037354086	-0.08881165	-0.039997198	-0.092945494	-0.083541535	-0.06346258	-0.061212856	-0.06690443	-0.031911287	-0.060118027	-0.098368265	-0.09286499	-0.050670076	-0.1254414	-0.049804725	-0.09693637	-0.08288818	-0.025524722	-0.06011214	-0.08818741	-0.049129955	-0.06894414	-0.08080856	-0.049310137
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	-0.052678857	-0.06754203	-0.16081807	-0.107646786	-0.084388584	-0.06660782	-0.05994441	-0.08526507	-0.0839468	-0.09800886	-0.09960847	-0.07119613	-0.10324415	-0.073609464	-0.16350785	-0.07116971	-0.16179599	-0.10759393	-0.068914555	-0.07799415	-0.046486076	-0.11859804	-0.09505639	-0.10939483	-0.11165664	-0.06812773	-0.05341057	-0.08157817	-0.11990394	-0.09420846	-0.18369043	-0.14234707	-0.11947353	-0.100846164	-0.05682038	-0.16587426	-0.04642253	-0.0879526	-0.06527012	-0.17052431	-0.06991335	-0.066198714	-0.096863866	-0.1481784	-0.18838313	-0.10499308	-0.074657194	-0.10416504	-0.059434123	-0.15465355	-0.10927494	-0.112787314	-0.1332628	-0.048092928	-0.13343112	-0.08416123	-0.119084544	-0.069855906	-0.10963384	-0.082493424	-0.09926837	-0.19592397	-0.090291865	-0.064218774	-0.06983856	-0.062187113	-0.1442027	-0.08948321	-0.11305888	-0.0556126	-0.08439819	-0.13255323	-0.09030579	-0.062464967	-0.07564961	-0.05518346	-0.07648025	-0.089095026	-0.25155938	-0.073379055	-0.11307283	-0.08541232	-0.07666991	-0.12482333	-0.13513745	-0.12001394	-0.13246614	-0.042275228	-0.09125583	-0.07092744	-0.08693481	-0.117493376	-0.12530732	-0.035137706	-0.18953542	-0.07636626	-0.025517464	-0.097533286	-0.11391916	-0.10271798	-0.09047827	-0.10724555	-0.07106745	-0.03160314	-0.08044659	-0.07366552	-0.08814297	-0.07793281	-0.052859277	-0.13092059	-0.06835605	-0.15786657	-0.110609084	-0.079725035	-0.08971168	-0.068531916	-0.090079516	-0.09467574	-0.0601986	-0.07026096
AFF4	-0.05804325	-0.06583063	-0.16317259	-0.123197995	-0.093279965	-0.06297819	-0.055689283	-0.09178467	-0.09031092	-0.093465716	-0.11047481	-0.07479898	-0.111137055	-0.0809019	-0.1753995	-0.06645067	-0.17154917	-0.11223349	-0.06884518	-0.07548617	-0.046162896	-0.115243025	-0.089609385	-0.10759575	-0.12732263	-0.066987775	-0.055317536	-0.08408533	-0.132383	-0.09803817	-0.19066611	-0.13877426	-0.13958502	-0.10722093	-0.054879807	-0.18152106	-0.044657905	-0.09982068	-0.06409433	-0.17833804	-0.08225701	-0.06968207	-0.097492166	-0.15417168	-0.2121193	-0.10721714	-0.07780722	-0.115350746	-0.062292926	-0.16424666	-0.108023755	-0.1206872	-0.13517538	-0.052340653	-0.13342388	-0.08565463	-0.10882542	-0.068637714	-0.11615807	-0.08182583	-0.101385765	-0.20543535	-0.09458539	-0.060180496	-0.07052821	-0.06749407	-0.14299843	-0.096999355	-0.11891372	-0.061668504	-0.0891597	-0.14338094	-0.08665723	-0.063178726	-0.07995291	-0.05699306	-0.0862404	-0.09000408	-0.2675708	-0.06917082	-0.11571932	-0.08389473	-0.07398396	-0.13340119	-0.140962	-0.13379166	-0.1430498	-0.04143532	-0.09453052	-0.06788284	-0.09154377	-0.1214064	-0.12977464	-0.030892784	-0.1999044	-0.074438184	-0.027722789	-0.09239291	-0.11965938	-0.10077577	-0.09555643	-0.110611126	-0.075395815	-0.034553066	-0.0768052	-0.07208658	-0.09986151	-0.084928274	-0.049706638	-0.1452295	-0.06901717	-0.15944512	-0.11473308	-0.08342499	-0.090145566	-0.07453287	-0.09303379	-0.099757485	-0.060280003	-0.07098646
AGO1	-0.042767614	-0.045903545	-0.0891241	-0.071552575	-0.072132684	-0.051467046	-0.032134835	-0.033601787	-0.054048646	-0.0645305	-0.080700114	-0.045287926	-0.053534765	-0.04208065	-0.109368615	-0.03596284	-0.10376028	-0.05928455	-0.04177569	-0.051131397	-0.04267098	-0.084964864	-0.04984947	-0.0859571	-0.08081383	-0.047713667	-0.031893622	-0.05150284	-0.0862264	-0.042866327	-0.118726335	-0.1007575	-0.08878687	-0.077215	-0.04336694	-0.11457469	-0.026004769	-0.060191505	-0.051736757	-0.12317105	-0.04709193	-0.036838178	-0.035718977	-0.10617066	-0.13103186	-0.067694806	-0.060923748	-0.06989849	-0.03550465	-0.09650911	-0.082521364	-0.07767323	-0.1017955	-0.022497728	-0.09343556	-0.049716122	-0.08081036	-0.046515882	-0.067701854	-0.04894496	-0.069580115	-0.116793804	-0.03160965	-0.032324284	-0.048810206	-0.04112715	-0.10569628	-0.06340791	-0.06868421	-0.045313537	-0.06319319	-0.09656684	-0.050278887	-0.05238322	-0.05698304	-0.04098022	-0.05042241	-0.069178306	-0.16211976	-0.045001477	-0.05651557	-0.06866895	-0.04506667	-0.09758871	-0.08838975	-0.06970738	-0.10691289	-0.025661724	-0.071375124	-0.043967642	-0.07667062	-0.07005987	-0.07757457	0.022290869	-0.1371776	-0.056893375	0.009659991	-0.06806453	-0.05115515	-0.076198526	-0.05850939	-0.07686306	-0.051083982	-0.035342343	-0.05031011	-0.05079353	-0.066764794	-0.05880218	-0.03678663	-0.091404915	-0.03704793	-0.10494223	-0.06381102	-0.049538463	-0.05008729	-0.04804099	-0.05269965	-0.062806346	-0.037421294	-0.033262823
AGO2	-0.048655596	-0.042053565	-0.080216706	-0.08234086	-0.070753925	-0.039392777	0.028458359	-0.02718571	-0.091401435	-0.05803547	-0.07681553	-0.043589704	-0.04787325	-0.026846081	-0.0678449	0.03125057	-0.08927277	-0.04962967	-0.050665013	-0.058485612	-0.020769278	-0.09157775	-0.056744047	-0.10537696	-0.05494346	-0.051275156	-0.028621204	-0.072292805	-0.06966573	-0.06495128	-0.083269976	-0.06726375	-0.075435005	-0.0919477	-0.043853167	-0.09666798	-0.03846852	-0.048801746	-0.06447376	-0.10019735	-0.057306904	-0.047459558	0.051653817	-0.079209514	-0.09193644	-0.070933454	-0.075723626	-0.06178207	-0.06532914	-0.062398277	-0.082473874	-0.07023734	-0.08158025	0.03851552	-0.084396236	-0.043463334	-0.044702683	-0.037606392	-0.043522418	-0.06728387	-0.089767635	-0.075004146	-0.03211508	-0.03880551	-0.04368279	-0.049346335	-0.10937125	-0.04989926	-0.0636664	-0.053354148	-0.06221567	-0.10770604	-0.050791588	-0.065827705	-0.052564945	-0.04141391	-0.06151171	-0.06353658	-0.10133665	-0.054282647	-0.051390458	-0.04041837	-0.057406936	-0.08725873	-0.056404933	-0.07073815	-0.082920104	-0.024549413	-0.043610767	-0.040687293	-0.058424782	-0.06383814	-0.061521664	0.028449912	-0.12692933	-0.033018693	-0.021568492	-0.060026925	-0.04231915	-0.08281266	-0.056486618	-0.068798505	-0.04036044	-0.051503744	-0.07055663	-0.053744223	-0.06131749	-0.06325813	-0.044455297	-0.06860286	-0.03545555	-0.04977323	-0.06371611	-0.0421167	-0.054277506	-0.05878217	0.028050754	-0.061405808	-0.04703232	-0.03328491
AHR	-0.058765355	-0.07388829	-0.14121425	-0.10751189	-0.093152374	-0.064848304	-0.044418458	-0.07271703	-0.07332528	-0.09006454	-0.093483195	-0.049824912	-0.10339394	-0.06903322	-0.14996155	-0.06532102	-0.14985695	-0.0944303	-0.064638354	-0.06886767	-0.050890867	-0.11869392	-0.08508548	-0.10113822	-0.120146886	-0.061197303	-0.047863018	-0.070871584	-0.12405316	-0.084132	-0.15515763	-0.12693635	-0.12244758	-0.1266988	-0.06564143	-0.16327958	-0.04512373	-0.08359322	-0.06608927	-0.16696636	-0.06499971	-0.064137526	-0.08333231	-0.13277794	-0.1859832	-0.09286621	-0.07349898	-0.09747162	-0.07162033	-0.13658725	-0.10611703	-0.10500499	-0.12415671	-0.059178255	-0.12226962	-0.066175975	-0.09646296	-0.070478685	-0.10260321	-0.062688306	-0.09373903	-0.17809272	-0.08822899	-0.053535882	-0.051309977	-0.046826445	-0.13791783	-0.09019481	-0.09144885	-0.061596505	-0.07314112	-0.12503806	-0.07800202	-0.06960356	-0.07899732	-0.052194655	-0.0651322	-0.08884642	-0.2208615	-0.06971605	-0.107169114	-0.0956545	-0.08017029	-0.1247259	-0.107553974	-0.10915955	-0.12311076	-0.033733003	-0.07863967	-0.06518596	-0.09837581	-0.104999624	-0.10863549	-0.028986974	-0.17810681	-0.07087259	-0.032077577	-0.096235156	-0.09753022	-0.08427249	-0.08628278	-0.091421254	-0.071849406	-0.052359357	-0.06258082	-0.07705465	-0.09029225	-0.08656413	-0.043894615	-0.12888446	-0.0630336	-0.13683775	-0.10219577	-0.06439161	-0.076866254	-0.0741489	-0.07790921	-0.08852623	-0.06301712	-0.052889686
AHRR	-0.060988136	-0.07716213	-0.14234926	-0.0746053	-0.05167196	-0.0635081	-0.055189107	-0.10524727	-0.09632707	-0.11435131	-0.083757244	0.03803852	-0.09181333	-0.07417623	-0.114162356	-0.0621425	-0.11950368	-0.12446889	-0.025573954	-0.05331197	-0.06680452	-0.11030229	-0.07352418	-0.109346576	-0.088554375	-0.061235867	-0.05150257	-0.07136978	-0.051316973	-0.068079054	-0.1236761	-0.09193422	-0.108895354	-0.12550454	-0.08677027	-0.12391808	-0.035247575	-0.10351687	-0.068985626	-0.12880811	-0.08878338	-0.06704108	-0.07275659	-0.089704536	-0.13415542	-0.116816685	-0.080931835	-0.030774165	-0.045525666	-0.11221027	-0.08949518	-0.08601785	-0.11316111	-0.077042975	-0.059878644	0.057457928	-0.079424426	-0.062820174	-0.08788588	-0.040576406	-0.05685302	-0.15683526	-0.09985575	-0.056298085	0.037772294	-0.04742189	-0.07106507	-0.05478737	-0.04847919	-0.062597215	-0.049115617	-0.08227462	-0.05210424	-0.076703474	-0.096780814	-0.04536476	-0.050132256	-0.084969506	-0.14459416	-0.03799032	-0.09202456	-0.0768897	-0.09111908	-0.10013553	-0.10880757	-0.109835304	-0.081943534	-0.046318535	-0.060463756	-0.043162853	-0.10266533	-0.09034543	-0.07857162	-0.04685543	-0.10216987	-0.059464775	0.050903685	-0.0838869	-0.043209627	-0.06794019	-0.10230975	-0.04568032	-0.04890374	-0.052199684	-0.03803678	-0.04944552	-0.105788745	-0.0785294	0.022659946	-0.08161529	-0.06971548	-0.083421506	-0.10516611	-0.07751564	-0.07415523	-0.06966134	-0.061855454	-0.047344245	-0.04136198	-0.05893587
AMH	-0.24988547	-0.2733188	-0.3152942	-0.17628698	-0.16933689	-0.18819754	-0.20530412	-0.26714367	-0.23092367	-0.17792134	-0.42253757	-0.12916218	-0.23820692	-0.39338642	-0.21519685	-0.2291985	-0.4824343	-0.24307959	-0.3373513	-0.33481672	0.09621575	-0.23892121	-0.15508126	-0.35146	-0.2670365	-0.22851516	0.21105213	-0.27771217	-0.14015508	0.15091422	-0.19760431	-0.21972561	-0.27252996	-0.3700709	-0.3822672	-0.31371316	-0.24965103	-0.47189844	-0.26347318	-0.2765719	-0.2196744	-0.22889632	-0.23821138	-0.3898694	0.19145428	-0.24976441	-0.3569904	-0.16615306	-0.14483702	-0.22041342	-0.169007	-0.1883799	-0.20690304	-0.25541127	-0.22955525	-0.16567518	-0.20453593	-0.26692566	-0.36075607	0.22205108	-0.21433553	-0.18849766	-0.2831775	-0.25563806	0.15566945	-0.11540285	-0.394963	-0.21017678	0.20445104	-0.27316096	-0.13010767	-0.25204307	-0.20896144	-0.16312942	-0.35945296	-0.26562312	0.13460521	-0.34853643	-0.119623765	-0.20310159	-0.12831062	-0.12307554	-0.28868562	-0.20917137	-0.1400881	-0.15751536	-0.19950046	-0.15687548	-0.22624682	-0.18797065	-0.32890168	-0.15076686	-0.27898815	-0.22446464	-0.3038532	-0.25168756	-0.16944414	-0.28918672	0.11298692	-0.30805197	-0.2691553	-0.28252387	-0.16228327	-0.17859153	-0.23027702	-0.20708427	-0.15123628	-0.18699002	-0.20779224	-0.16086504	0.1706282	-0.22140492	-0.33370405	0.12582459	-0.21703562	-0.36315215	-0.22889034	-0.25924736	-0.24531716	0.19791245
APC	-0.043029815	-0.072469726	-0.11176643	-0.09256424	-0.07775117	-0.0548512	-0.030356105	-0.059247103	-0.07457149	-0.07106907	-0.0842405	-0.038126774	-0.09124784	-0.06608977	-0.078292236	-0.04984228	-0.09379006	-0.043564934	-0.03700938	-0.059027757	-0.040084057	-0.11633321	-0.04203166	-0.07384471	-0.123530656	-0.035002362	-0.036321394	-0.050331727	-0.09687588	-0.04815569	-0.102882795	-0.08854889	-0.07577662	-0.1298919	-0.0815795	-0.15406965	-0.046364173	-0.09605335	-0.057385284	-0.13985977	-0.04851606	-0.05892886	-0.054340772	-0.08773228	-0.14003985	-0.07440211	-0.086213104	-0.055124663	-0.092049174	-0.08577758	-0.08019391	-0.08429634	-0.06946881	-0.04466239	-0.11797451	0.035062373	-0.062342055	-0.0807912	-0.08320366	-0.039219223	-0.08057947	-0.12100949	-0.04830009	-0.051911347	-0.051418748	-0.023765517	-0.13151984	-0.08813569	-0.039219413	-0.056997377	-0.046005834	-0.08519272	-0.040119275	-0.0809988	-0.10182179	-0.042425446	-0.05121385	-0.08345421	-0.13265419	-0.067795455	-0.048233658	-0.09905986	-0.07778728	-0.107084505	-0.044072583	-0.08801039	-0.113091245	-0.01606229	-0.058786415	-0.061269812	-0.10384613	-0.060269605	-0.083143786	-0.023993364	-0.109965995	-0.05051897	-0.03730188	-0.06259229	-0.051111344	-0.06494384	-0.082494386	-0.065618135	-0.059140734	-0.048311353	-0.04953404	-0.065015346	-0.092264384	-0.085821584	-0.04504599	-0.11310058	-0.051644236	-0.09910758	-0.08597323	-0.03207437	-0.054079298	-0.07538176	-0.054075446	-0.057545178	-0.06408633	-0.043200914
APOBEC3B	-0.20159395	-0.15409313	0.1974655	0.10568374	0.22813557	0.1393789	-0.14269629	0.2661826	-0.14188878	-0.14916176	0.21773824	0.09750209	0.11600107	0.20489903	0.16831155	0.16086653	-0.19821802	-0.16908132	-0.10346048	-0.09290614	-0.14749406	0.3446914	0.37113675	0.12596582	0.2135102	0.09153475	0.17072429	0.14211097	0.21017258	-0.1576323	-0.11763253	-0.102420785	0.28650707	0.12424104	-0.10773354	0.21874356	0.18846123	0.16493373	0.15453236	0.13810635	-0.16591124	-0.11269607	-0.17469956	0.24601796	0.24268712	0.15396228	0.31262648	0.22887132	-0.19143836	0.35078934	0.24624304	0.12721607	-0.18728602	-0.10348645	0.13851704	-0.08218824	0.1985742	0.11908432	0.17050025	0.1889233	-0.13371237	0.22956641	-0.1720283	0.18882467	-0.1602135	0.20736021	0.21455573	0.17208576	-0.086243935	0.17721009	0.09398607	0.12134494	0.17288305	0.18957238	-0.12512684	-0.16357379	0.2931408	0.23385765	-0.15309405	-0.19401671	0.10166825	0.17907403	0.115264036	0.073482744	0.220398	0.20728303	0.123695865	-0.1607867	0.1508855	0.22737196	0.16736706	0.14873965	0.22954343	-0.13760845	-0.20387015	0.10250825	-0.094822004	0.11903446	0.11556448	-0.07771842	0.09337029	0.22477426	-0.112780176	0.30902022	0.0909456	0.18524423	-0.08633304	0.14211409	0.22411487	0.13725041	0.101214424	0.2589444	0.21603209	-0.23056547	0.11689431	0.15705152	0.12044166	0.2813886	0.25024703	0.18128864
AR	-0.03970481	-0.031214004	-0.12321283	-0.096108034	-0.071001254	-0.042800672	-0.054412957	-0.07006456	-0.05053809	-0.06001599	-0.08006478	-0.06377216	-0.06353578	-0.05979982	-0.17812097	-0.036833942	-0.13410363	-0.106676355	-0.048463434	-0.045275927	-0.024966028	-0.089664534	-0.07716285	-0.076751545	-0.1100721	-0.03405254	-0.033688232	-0.06242379	-0.10058307	-0.08689343	-0.19872332	-0.11449295	-0.09081974	-0.05124148	-0.026287643	-0.12121678	-0.018583367	-0.06982433	-0.02424017	-0.11557112	-0.06937986	-0.04645008	-0.081974715	-0.112910196	-0.16526645	-0.07987649	-0.032793697	-0.06937856	0.021950152	-0.14770393	-0.08986376	-0.097898096	-0.12807195	0.026974581	-0.08528724	-0.10666066	-0.10066318	-0.039068688	-0.09756153	-0.081514925	-0.07870192	-0.17982593	-0.036512822	-0.04574498	-0.069930136	-0.0642944	-0.097446255	-0.061501626	-0.11187849	-0.044650093	-0.07010263	-0.10412131	-0.062905684	0.02093315	-0.041315883	-0.042989187	-0.07010118	-0.04526707	-0.27871498	-0.031094396	-0.12156337	-0.02354343	-0.042911556	-0.07698073	-0.13212773	-0.08309638	-0.09959184	-0.027366554	-0.05960745	-0.0340165	-0.039801482	-0.08250323	-0.11305867	0.02404691	-0.1910188	-0.055257507	0.042825818	-0.060877852	-0.13246684	-0.08269556	-0.06867784	-0.07679798	-0.04728716	-0.019715987	-0.049246818	-0.023680924	-0.048709627	-0.024851479	-0.024274359	-0.13101521	0.04818492	-0.1365686	-0.08556473	-0.08150877	-0.054997027	-0.037847374	-0.06520957	-0.069016665	0.033633143	-0.06643286
ARID1A	-0.054530207	-0.057852864	-0.08360191	-0.04518797	-0.055538505	-0.03480649	-0.04967195	-0.039290022	-0.067150354	-0.06532657	-0.06255152	-0.04181741	-0.07302224	-0.0377416	-0.06575794	-0.059297804	-0.08701406	-0.06011803	-0.049223144	-0.04193031	-0.053017568	-0.071866766	-0.05630376	-0.07052746	-0.051790364	-0.049624547	-0.04304708	-0.0653429	-0.06012244	-0.047418177	-0.07994537	-0.07616466	-0.059569918	-0.07175755	-0.03751122	-0.11025837	-0.031409495	-0.056145087	-0.06068923	-0.11160751	-0.04222885	-0.058793485	-0.058273148	-0.07269965	-0.10269342	-0.07300901	-0.053842474	-0.06064005	-0.05135077	-0.067342505	-0.052232005	-0.06183031	-0.08527561	-0.044871733	-0.06756753	-0.039643493	-0.068456575	-0.06083844	-0.04637885	-0.05957325	-0.06933296	-0.10846065	-0.053748727	-0.05295838	-0.038954467	-0.039724715	-0.09509425	-0.06349293	-0.050260983	-0.03723993	-0.052145965	-0.07930928	-0.055413924	-0.04451521	-0.047953695	-0.035407197	-0.06801069	-0.077369995	-0.11120605	-0.04429071	-0.03989178	-0.055636037	-0.067132466	-0.07429073	-0.07005147	-0.06480509	-0.10045876	-0.043012675	-0.071563005	-0.046215978	-0.065896794	-0.04599443	-0.07429339	-0.029158939	-0.10561591	-0.04245561	-0.027917627	-0.069569	-0.053793862	-0.0794992	-0.06015388	-0.07705313	-0.054662038	-0.028051643	-0.059557546	-0.04602558	-0.07257865	-0.05519475	-0.038650565	-0.054257296	-0.04361868	-0.0781411	-0.076626845	-0.0482653	-0.051592093	-0.06071236	-0.053036578	-0.051840436	-0.04835488	-0.03449207
ARID1B	-0.05251484	-0.064195774	-0.11704382	-0.08090118	-0.065406024	-0.0410607	-0.053681955	-0.07363203	-0.08816833	-0.064231426	-0.0671339	-0.04397933	-0.09987849	-0.050855596	-0.102461144	-0.077639855	-0.103588894	-0.07979867	-0.0707512	-0.062184878	-0.050250977	-0.07750046	-0.07136653	-0.068174526	-0.08312238	-0.05859671	-0.042737048	-0.070328996	-0.12959892	-0.07956924	-0.08863644	-0.09145642	-0.0688211	-0.110342294	-0.04451381	-0.12551342	-0.038424693	-0.06608077	-0.06289321	-0.11707929	-0.055767342	-0.06376	-0.07692461	-0.08480204	-0.15017661	-0.054272376	-0.064340636	-0.059858307	-0.060053546	-0.08059211	-0.08522248	-0.089531854	-0.060899317	-0.057161145	-0.106404364	-0.03896929	-0.08500272	-0.049207386	-0.082067735	-0.058501422	-0.06481275	-0.12055131	-0.068108775	-0.048409108	-0.048698448	-0.05195537	-0.09699255	-0.08705793	-0.04606457	-0.030380646	-0.053166278	-0.091337405	-0.0646094	-0.083445914	-0.070393905	-0.044713248	-0.053387545	-0.093454815	-0.13565265	-0.07192906	-0.07674043	-0.07393897	-0.0651305	-0.11683706	-0.06569298	-0.08163516	-0.07769169	-0.03130617	-0.06788954	-0.054856874	-0.08833625	-0.067174986	-0.08205492	-0.029099323	-0.1023738	-0.057990573	-0.045345295	-0.08486533	-0.06521616	-0.056607865	-0.0670376	-0.05932074	-0.056975346	-0.056790058	-0.069133945	-0.06897811	-0.07262418	-0.07626889	-0.028924055	-0.09278972	-0.03582496	-0.07407396	-0.061745662	-0.06898999	-0.069315724	-0.063471854	-0.07017997	-0.0749254	-0.07207014	-0.047437012
ARID2	-0.059015524	-0.06370773	-0.16680552	-0.138892	-0.09510192	-0.07040141	-0.04901511	-0.086602725	-0.08261239	-0.09288893	-0.115744464	-0.07992223	-0.115995236	-0.09087317	-0.18823439	-0.05780592	-0.18204264	-0.12075213	-0.06846841	-0.07853702	-0.051412843	-0.10658481	-0.08934473	-0.10891245	-0.14256369	-0.068418644	-0.05920949	-0.07919981	-0.14044361	-0.10970473	-0.20162113	-0.15698445	-0.12457585	-0.09145598	-0.05028351	-0.1797751	-0.037259176	-0.10009562	-0.060690377	-0.18585268	-0.077141546	-0.06722494	-0.09762285	-0.16145869	-0.19854937	-0.10599339	-0.07353802	-0.117145404	-0.04970127	-0.18736397	-0.12537517	-0.112773135	-0.14581178	-0.037364382	-0.13996899	-0.10062597	-0.12355709	-0.067519136	-0.12400292	-0.08402566	-0.10011487	-0.21051022	-0.07810298	-0.07031074	-0.08559703	-0.07190682	-0.15135401	-0.0968038	-0.12630677	-0.06377961	-0.094831355	-0.1326822	-0.08417133	-0.05059142	-0.07027381	-0.059836384	-0.08347701	-0.09517958	-0.30822024	-0.08311177	-0.10847318	-0.08234941	-0.05846989	-0.13461305	-0.15500665	-0.12624903	-0.14543594	-0.045143202	-0.090718284	-0.06737338	-0.084480114	-0.121840164	-0.1459453	-0.032617964	-0.20554602	-0.077842765	0.0142897535	-0.08614033	-0.11908852	-0.108361326	-0.09134681	-0.109920815	-0.07340737	-0.03441184	-0.07841154	-0.06561687	-0.09024771	-0.0686557	-0.04713892	-0.15464444	-0.062489267	-0.17521624	-0.11793666	-0.07938697	-0.08629879	-0.070574515	-0.0874484	-0.09607686	-0.05986888	-0.081416376
ARID3A	-0.061948974	-0.08362509	-0.12052549	-0.07088645	-0.06734864	-0.059278484	-0.044892713	-0.052029252	-0.06990361	-0.07366171	-0.104874164	-0.039672524	-0.073455274	-0.0457146	-0.08777666	-0.045633275	-0.10791452	-0.07887628	-0.0611134	-0.066988826	-0.026468324	-0.12660293	0.029893149	-0.09170287	-0.106707215	-0.043959204	-0.063118435	-0.06882452	-0.10386299	-0.05483775	-0.08997281	-0.08299765	-0.09587604	-0.09628395	-0.076264076	-0.13258566	-0.05586054	-0.056781944	-0.0789793	-0.11817943	-0.04987357	-0.052021816	-0.06640214	-0.092977874	-0.13127597	-0.06118883	-0.076597266	-0.092884794	-0.11310531	-0.09078592	-0.08698603	-0.09779397	-0.09020164	-0.05800281	-0.099601716	-0.03235989	-0.04559452	-0.10424233	-0.08790965	-0.02297265	-0.073015645	-0.13113117	-0.07856341	-0.056027077	-0.026375672	-0.04607152	-0.10032734	-0.0956665	-0.06985232	-0.06925832	-0.05785018	-0.09906941	-0.0541779	-0.061084785	-0.084395625	-0.03879531	-0.059150923	-0.072304256	-0.122620374	-0.050222453	-0.09159456	-0.05718226	-0.08094234	-0.09366402	-0.06799424	-0.077900834	-0.099103756	-0.021832693	-0.08845267	-0.065678805	-0.10582878	-0.096595064	-0.064138375	-0.020604849	-0.13933025	-0.049140826	-0.0434187	-0.1021789	-0.06089231	-0.07720401	-0.07547289	-0.043879103	-0.07353945	-0.059295908	-0.03704896	-0.05425475	-0.081670344	-0.07248896	-0.028217442	-0.10084449	-0.036357038	-0.10533948	-0.10356895	-0.044048734	-0.085573	-0.088381656	-0.040577594	-0.06884339	-0.06893364	-0.053240225
