Gene	TCGA-19-4065	GLSS-HF-B972	GLSS-19-0266	GLSS-MD-0023	GLSS-HF-6658	GLSS-CU-R019	GLSS-HF-2548	GLSS-HF-3050	GLSS-19-0268	GLSS-SM-R093	GLSS-19-0271	GLSS-CU-R004	GLSS-19-0273	GLSS-SM-R063	GLSS-CU-P102	GLSS-19-0270	GLSS-MD-LP04	GLSS-MD-0022	GLSS-19-0272	GLSS-SM-R103	GLSS-SM-R080	GLSS-SM-R066	GLSS-SM-R088	GLSS-MD-0035	TCGA-06-0125	GLSS-19-0274	GLSS-HF-57AE	GLSS-19-0267	GLSS-HF-EE74	GLSS-HF-6504	TCGA-06-0210	GLSS-19-0277	GLSS-SM-R060	GLSS-19-0276	GLSS-SM-R068	GLSS-19-0278	GLSS-19-0280	GLSS-HK-0003	GLSS-CU-P069	GLSS-HF-DF35	GLSS-CU-P055	GLSS-MD-0042	TCGA-14-1034	GLSS-CU-P003	GLSS-SM-R064	GLSS-SM-R083	TCGA-19-0957	GLSS-19-0275	GLSS-HK-0001	GLSS-19-0269	GLSS-CU-P046	GLSS-MD-0026	GLSS-SM-R065	GLSS-HF-9A7A
ADA2	-0.14836961	-0.22157817	-0.15283197	-0.10548921	-0.18009086	-0.15123898	-0.16000907	-0.15262765	-0.17689563	-0.09329068	-0.16844176	-0.07942431	-0.17625318	-0.15359053	-0.12595615	-0.16560647	-0.18374862	-0.12113848	-0.1731069	-0.05920712	-0.13512617	-0.061923616	-0.17201403	0.06825993	-0.1411902	-0.16204883	-0.21240771	-0.16730094	-0.15398857	-0.20915397	-0.15891388	-0.18074252	-0.090469055	-0.16537882	-0.08673061	-0.15635687	-0.18623091	-0.15413262	-0.17441642	-0.21925935	-0.19186029	-0.1361946	-0.15389344	-0.2183735	-0.072962806	-0.110536404	-0.15380542	-0.1704661	-0.21341509	-0.17222315	-0.20003878	-0.14822477	-0.106377944	-0.1925235
AEBP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AFF1	-0.18987568	-0.19051269	-0.19176042	-0.13657382	-0.22433956	-0.1774774	-0.17684497	-0.19899727	-0.15786669	-0.15710148	-0.16139515	-0.16781506	-0.16134898	-0.20249642	-0.13708714	-0.16635798	-0.1906651	-0.19122109	0.13768403	-0.10343581	-0.19203591	-0.12193657	-0.24013442	-0.11660641	-0.20980807	-0.16796714	-0.22122985	-0.15198286	-0.17617156	-0.21029428	-0.21997117	-0.17301896	-0.16306804	-0.14305511	-0.14471366	-0.206154	-0.2008408	-0.16830873	-0.20086743	-0.21528023	-0.2202788	-0.2005282	-0.24795663	-0.25232333	-0.11415325	-0.15861782	-0.17152373	0.13957289	-0.20813587	-0.1774352	-0.19763784	-0.19434054	-0.094136305	-0.217202
AFF4	-0.21264076	-0.21150701	-0.21364242	-0.1456457	-0.24328926	-0.19554569	-0.19885224	-0.21279974	-0.17535004	-0.17067441	-0.17529123	-0.17453408	-0.18486339	-0.21696916	-0.15425064	-0.18395361	-0.21486609	-0.20280935	-0.14777167	-0.111130625	-0.21059652	-0.12670605	-0.2558554	-0.124610685	-0.23338327	-0.19082388	-0.25293666	-0.17618035	-0.18733263	-0.23071486	-0.24081917	-0.19187398	-0.17542806	-0.17145373	-0.14844577	-0.22745712	-0.21947788	-0.19079003	-0.21905962	-0.22658758	-0.22917174	-0.21630055	-0.27658954	-0.2704604	-0.12445668	-0.15977646	-0.17710942	-0.15480448	-0.22085997	-0.18978077	-0.21854681	-0.2084107	-0.111499846	-0.23732585
AGO1	-0.16361913	-0.16387379	-0.12934941	-0.11051623	-0.15995704	-0.14989936	-0.1493927	-0.1539026	-0.13831747	-0.11690469	-0.12951638	-0.13454856	-0.13498299	-0.14584927	-0.12317144	-0.13658077	-0.1413802	-0.12872796	-0.108817205	-0.09283197	-0.1350875	-0.10057666	-0.17867787	-0.08532658	-0.15446825	-0.12788384	-0.18271597	-0.13174306	-0.13342288	-0.16637543	-0.16346996	-0.14493112	-0.10055234	-0.13050085	-0.08998303	-0.15041237	-0.14827399	-0.14130853	-0.14851868	-0.15687732	-0.17182322	-0.1376666	-0.1987272	-0.19505958	-0.086340345	-0.10063002	-0.12724794	-0.12228416	-0.15991718	-0.1335453	-0.16047992	-0.12007992	-0.08524305	-0.16302274
AGO2	-0.15816016	-0.13060948	-0.14269567	-0.13188791	-0.15016599	-0.12405791	-0.15065654	-0.13244627	-0.15488347	-0.09853157	-0.11986816	-0.13261224	-0.1338839	-0.13857906	-0.122945614	-0.12966102	-0.13565513	-0.14488591	-0.119584315	-0.07751567	-0.10399158	-0.07929348	-0.15786602	-0.070507355	-0.10699113	-0.11278228	-0.14935371	-0.14211802	-0.13053884	-0.15271239	-0.15152694	-0.117412455	-0.073778026	-0.13511322	-0.06701429	-0.14317523	-0.13935843	-0.14203265	-0.14865509	-0.13161609	-0.15615498	-0.11785199	-0.17344457	-0.1371133	-0.070337914	-0.095955096	-0.117321275	-0.11447402	-0.13110149	-0.13761836	-0.14306988	-0.11361799	-0.09259234	-0.16614687
AHR	-0.20233314	-0.19543862	-0.18254675	-0.14035174	-0.2096361	-0.17825936	-0.18618502	-0.20611386	-0.15984112	-0.15360554	-0.16156517	-0.15402679	-0.1679072	-0.19070764	-0.14320739	-0.15383586	-0.19081557	-0.17186026	-0.12755542	-0.11287043	-0.19170558	-0.114532165	-0.21812664	-0.1094702	-0.20292108	-0.16970801	-0.23511423	-0.15275101	-0.16633108	-0.2092338	-0.21595712	-0.16189593	-0.14916252	-0.16643864	-0.13193141	-0.19119479	-0.19175476	-0.1672267	-0.18693721	-0.1919267	-0.21356627	-0.19029315	-0.23601775	-0.23175512	-0.109606855	-0.14928302	-0.15009266	-0.14117339	-0.21091206	-0.16929485	-0.2057878	-0.17937988	-0.12074634	-0.21610129
AHRR	-0.1238547	-0.12771378	-0.11408314	-0.0923457	-0.14548664	-0.14278485	-0.11824442	-0.14344595	-0.13558225	-0.073418885	-0.11014001	-0.09937623	-0.15541263	-0.13713454	-0.07949183	-0.11247764	-0.13734251	-0.13371904	-0.0864372	-0.06438454	-0.12900454	0.06412731	-0.15097299	-0.078520425	-0.13557288	-0.12249674	-0.12503012	-0.12144239	-0.16549926	-0.13989304	-0.16815194	-0.101637594	-0.07338822	-0.12801503	-0.0821655	-0.0995394	-0.14687464	-0.10689326	-0.13777737	-0.12240379	-0.1180088	-0.13521333	-0.2005526	-0.14329948	0.07962911	-0.08895214	-0.10893838	-0.13385664	-0.12617406	-0.11249035	-0.13956447	-0.13666408	-0.09138717	-0.12355362
AMH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
APC	-0.18331122	-0.19884488	-0.18609144	-0.11686821	-0.19650233	-0.17015277	-0.17259139	-0.18458025	-0.20643708	-0.118557476	-0.18743366	-0.110627584	-0.18809606	-0.15154943	-0.13199346	-0.19217466	-0.21205352	-0.14033318	-0.1646914	-0.09129998	-0.14046706	-0.06659419	-0.1913776	-0.06533647	-0.15897499	-0.17848092	-0.2265269	-0.15861468	-0.17175949	-0.22616126	-0.19672889	-0.19719163	-0.105927005	-0.18668118	-0.096904345	-0.17709608	-0.19424398	-0.16806732	-0.17923132	-0.20023791	-0.1916481	-0.14896303	-0.194854	-0.21807538	-0.07217269	-0.12173778	-0.15936455	-0.16507171	-0.20235482	-0.17782165	-0.19558516	-0.14730978	-0.10364801	-0.19023387
APOBEC3B	0.10014509	0.15116891	0.12675935	-0.07059125	-0.09451965	0.13159731	0.0860377	0.15014987	0.18254355	-0.04706342	0.09894096	-0.10130141	0.16845168	0.08109884	-0.118557304	0.1412506	0.17695038	-0.055236153	0.19023034	0.081829555	0.09026736	-0.08332497	0.05827485	-0.12858132	-0.084936835	0.17193092	0.07085156	0.11586852	0.09721985	-0.066836804	-0.04650166	0.10928256	-0.11289371	0.07663456	0.066915624	0.111392304	0.09656318	0.11334626	0.104376525	0.0954862	-0.13401687	-0.074765384	0.09825383	0.13593681	0.08509089	0.15041372	0.10439922	0.10765875	0.09789086	0.07994188	-0.07412898	-0.06123466	0.10234856	0.099878825
AR	-0.107981116	0.123880364	0.22228137	-0.1334029	-0.13813947	-0.12041306	-0.09821679	-0.13189426	0.22557518	-0.13681816	0.22418259	-0.18813816	0.22634614	-0.14233068	-0.11910185	0.2308009	-0.10744065	-0.15133803	0.23271503	-0.10213063	-0.1382192	-0.121102154	-0.15419738	-0.12380348	-0.18105416	0.2311682	-0.1249351	0.22003786	0.099854134	-0.10218024	-0.14505792	0.22610961	-0.16262728	0.21732208	0.20283112	0.23218703	0.23439339	-0.11744539	-0.12262052	-0.11980256	-0.14052898	-0.1281178	-0.17871757	-0.15229662	-0.10288146	0.15391873	0.22015652	0.23451772	-0.12904781	0.22316298	-0.13709995	-0.13711707	0.071210906	-0.13420725
ARID1A	-0.14537372	-0.14675066	-0.13003361	-0.10123272	-0.15778093	-0.1285965	-0.13085485	-0.14446598	-0.13326223	-0.09337218	-0.11381423	-0.092553936	-0.12767416	-0.14827344	-0.111634046	-0.12345045	-0.14461562	-0.14040282	-0.10023349	-0.07421691	-0.13996468	-0.06748963	-0.14638768	-0.08152324	-0.13852394	-0.12165207	-0.17365704	-0.12749195	-0.13382071	-0.16048576	-0.14884175	-0.11336154	-0.09570717	-0.12857445	-0.09519152	-0.12471237	-0.14454712	-0.13671936	-0.16264474	-0.13586663	-0.15864499	-0.13793568	-0.16911037	-0.17125586	-0.063747905	-0.0903971	-0.08743784	-0.12315319	-0.14667419	-0.1343169	-0.14985658	-0.12362622	-0.08890173	-0.14526942
ARID1B	-0.18134746	-0.1712439	-0.14914489	-0.10085043	-0.15326804	-0.15349674	-0.15581785	-0.16227007	-0.1664067	-0.10261082	-0.1531223	-0.09354665	-0.14546458	-0.13956814	-0.11605479	-0.14008766	-0.15485556	-0.13841015	-0.11222892	-0.0947035	-0.13715668	-0.084266804	-0.14626168	-0.08157147	-0.1463113	-0.12812638	-0.1843758	-0.14852153	-0.15905449	-0.17072432	-0.15294173	-0.137454	-0.11008782	-0.13138357	-0.10479392	-0.12996337	-0.16242218	-0.1263176	-0.15654545	-0.15457827	-0.13293615	-0.13224983	-0.18594861	-0.16523555	-0.07218192	-0.1032346	-0.12795348	-0.13859037	-0.18927553	-0.1440307	-0.15150765	-0.12735112	-0.09540433	-0.1681533
ARID2	-0.2068047	-0.19227394	-0.19759503	-0.15422751	-0.24298678	-0.18911375	-0.1897804	-0.21487686	0.16699888	-0.16877846	0.16717091	-0.20441793	-0.17127936	-0.21956515	-0.15746301	0.17495358	-0.19877435	-0.20228401	0.17601058	-0.12337598	-0.21707521	-0.13948396	-0.267766	-0.13648292	-0.24086647	-0.18193778	-0.24069111	0.1604754	-0.18609257	-0.21573937	-0.24583672	-0.18805106	-0.17892319	0.16337675	0.16939156	-0.21693216	-0.21309	-0.18830293	-0.22287287	-0.22508317	-0.24039765	-0.21751404	-0.27632368	-0.2812472	-0.13428734	-0.17215735	-0.18187945	0.175021	-0.21401086	-0.17749356	-0.22099872	-0.20837103	-0.10166047	-0.23274353
ARID3A	-0.17186461	-0.20148338	-0.17309631	-0.09957015	-0.19351046	-0.16203547	-0.16632736	-0.15851764	-0.14382456	-0.11376647	-0.16694146	-0.09602931	-0.16670504	-0.16719072	-0.113796934	-0.17609625	-0.17955056	-0.12757576	-0.14901753	-0.07359038	-0.15706351	-0.06469573	-0.18021125	-0.070488796	-0.13444303	-0.12914723	-0.22739168	-0.16729614	-0.14929119	-0.18634462	-0.1889539	-0.18401779	-0.105009444	-0.15454648	-0.097570315	-0.15709727	-0.19124316	-0.13705929	-0.17901711	-0.17919107	-0.1731226	-0.16045068	-0.17583542	-0.20918962	-0.08758765	-0.13441068	-0.14216879	-0.15537298	-0.19310907	-0.1603636	-0.19562213	-0.15103368	-0.111972935	-0.18376923
ARID3B	0.113217436	0.25812465	0.12003678	0.18508628	-0.14506237	0.17306708	0.16943824	-0.18251835	0.16847624	0.22235799	0.23623718	-0.14482574	0.21897936	0.118004166	-0.1682532	0.15757033	-0.12924172	-0.1510904	0.21553476	-0.148602	0.12854351	-0.18504554	-0.244484	-0.28330153	-0.15720958	0.14830332	0.15679647	0.23051366	0.120841675	-0.12952101	-0.14916639	0.17008604	0.21730556	0.16844521	0.22395615	0.15491125	-0.17777234	-0.18964219	-0.1631988	0.11627799	0.15835778	-0.2196058	0.1753887	-0.11540714	0.10084912	0.18170957	0.23368478	0.09751509	0.20307337	0.15994042	-0.2431632	-0.17068923	0.17344335	0.24407865
ARNT	-0.14229743	-0.15224813	-0.14308903	-0.1115485	-0.15816632	-0.14483033	-0.14450058	-0.1508957	-0.13495113	-0.09628497	-0.11939157	-0.10985134	-0.13134101	-0.13458824	-0.123587765	-0.12052238	-0.14758801	-0.13336688	-0.10793271	-0.07356576	-0.12923919	-0.08174454	-0.15692215	-0.08295153	-0.15190728	-0.11121025	-0.16717932	-0.13404256	-0.15221523	-0.1664638	-0.15800223	-0.117518224	-0.09574694	-0.14074501	-0.096329115	-0.15277684	-0.14820258	-0.11805136	-0.1461183	-0.138162	-0.16497128	-0.14179674	-0.17030595	-0.16265558	-0.062498514	-0.09892924	-0.1089195	-0.1269186	-0.15527485	-0.116451114	-0.1561412	-0.120000795	-0.078875124	-0.14556204
ARNTL	-0.13937484	-0.16421568	-0.14092298	-0.09631126	-0.17054991	-0.13042937	-0.13269804	-0.14141816	-0.1532804	-0.10270661	-0.1308624	-0.101907045	-0.13150787	-0.13860573	-0.105866864	-0.14227933	-0.16055039	-0.1437812	-0.11643207	-0.07124377	-0.12588452	-0.067417026	-0.1672657	-0.069311924	-0.13807367	-0.1324781	-0.18242256	-0.12499632	-0.14091757	-0.17899068	-0.16471241	-0.13830289	-0.10973279	-0.13698092	-0.10328993	-0.14903936	-0.15081698	-0.12808889	-0.13831228	-0.14803636	-0.15543728	-0.14167945	-0.16970986	-0.17355762	-0.06550422	-0.11277515	-0.12393417	-0.13155617	-0.15670216	-0.14413294	-0.16104846	-0.12633862	-0.075410716	-0.15357982
ARRB1	-0.17667341	-0.24655935	-0.19394307	-0.10587142	-0.23446769	-0.18027541	-0.17718612	-0.21012901	-0.19393063	-0.11970107	-0.21475212	-0.0923817	-0.20439231	-0.18006168	-0.115270466	-0.18816242	-0.20812815	-0.13542078	-0.1741803	-0.073001884	-0.18375748	0.094594836	-0.21540186	-0.0828331	-0.19084667	-0.18098047	-0.2575616	-0.17798136	-0.19167183	-0.2293401	-0.22448272	-0.20709644	-0.14609912	-0.1898649	-0.14584556	-0.18866208	-0.21091653	-0.15458721	-0.18359643	-0.22388996	-0.20081528	-0.17174275	-0.18439147	-0.24178162	-0.09779481	-0.1656763	-0.17955376	-0.18197481	-0.240924	-0.2144288	-0.18473999	-0.19500656	-0.10011132	-0.22539507
ASCL1	-0.08148507	-0.071723655	0.07820989	-0.07625218	-0.091913976	-0.09174125	-0.08668807	-0.08353581	0.07873054	-0.08024021	0.077570915	-0.095326334	0.07709206	-0.08477803	-0.06745411	0.081681855	-0.07400886	-0.09395964	0.08154581	-0.05905293	-0.08391659	-0.07365629	-0.102589525	-0.062527746	-0.09071757	0.07722662	-0.0986228	0.073221296	-0.068437055	-0.07577478	-0.09209349	0.07873054	-0.065377705	0.074025795	0.07253704	-0.08308505	0.08460666	-0.07338059	-0.086974055	-0.0768939	-0.111849174	-0.076754466	-0.11585726	-0.09828922	-0.066009454	-0.064994045	0.07646634	0.08156839	-0.08335227	0.07765638	-0.09003872	-0.070790656	-0.050127394	-0.09599756
ASCL2	-0.17565998	-0.2119523	-0.17510332	-0.1127075	-0.20107238	-0.15842396	-0.1570463	-0.19310817	-0.16916376	-0.118454255	-0.1824015	-0.09834586	-0.16796884	-0.1828621	-0.11537803	-0.16229415	-0.1844126	-0.14128754	-0.15067948	-0.08332047	-0.17371505	0.08290225	-0.1936663	-0.08941823	-0.17528687	-0.17130162	-0.23372962	-0.1741395	-0.16390301	-0.20305634	-0.20638837	-0.16514547	-0.1398673	-0.16373377	-0.13214009	-0.17073497	-0.19515607	-0.14936979	-0.17324813	-0.20327492	-0.18512987	-0.17072318	-0.18471646	-0.20493436	-0.10023399	-0.15006833	-0.15266365	-0.16215867	-0.2093714	-0.18149097	-0.1811389	-0.17572922	-0.096703246	-0.19474605
ASH2L	-0.2266726	-0.26483944	-0.22998078	-0.1282487	-0.26407307	-0.203783	-0.20194599	-0.24478954	-0.22661732	-0.1461733	-0.24019639	-0.12224476	-0.23413758	-0.23789446	-0.14747413	-0.22458673	-0.23838714	-0.1774601	-0.20114377	-0.09772144	-0.22465566	0.09861363	-0.25683242	-0.11524656	-0.22290619	-0.21849489	-0.2840629	-0.22296086	-0.22511837	-0.26210496	-0.25824046	-0.22825745	-0.17930828	-0.22768913	-0.17733112	-0.23873824	-0.255319	-0.19869213	-0.22832252	-0.2708311	-0.22993122	-0.2211859	-0.2373864	-0.26876378	-0.13113898	-0.19114967	-0.20409748	-0.21838543	-0.2581624	-0.24310695	-0.23101345	-0.23567975	-0.12759966	-0.23441015
ATF1	-0.23009911	-0.25265518	-0.2211585	-0.12956174	-0.25011104	-0.20798837	-0.19869913	-0.22892763	-0.21898422	-0.15175271	-0.21478367	-0.13206539	-0.20469382	-0.20943213	-0.14747585	-0.21340078	-0.22672015	-0.1741456	-0.1748436	-0.104125015	-0.21662651	-0.104327016	-0.24685256	-0.09583091	-0.20267202	-0.20223276	-0.27428237	-0.20167685	-0.19913317	-0.25013417	-0.25282145	-0.22138423	-0.15609953	-0.21471576	-0.16193423	-0.23160638	-0.24579214	-0.19444019	-0.21240653	-0.24534863	-0.22933033	-0.20481718	-0.24453002	-0.26643842	-0.115325004	-0.17982243	-0.19943374	-0.19161606	-0.24211271	-0.2269839	-0.22485621	-0.1930375	-0.12164604	-0.23986162
ATF2	-0.18542872	-0.19215944	-0.1696219	-0.11689067	-0.2020554	-0.16598482	-0.16373721	-0.18889928	-0.16193672	-0.12666163	-0.1671729	-0.124146074	-0.1559285	-0.18050924	-0.12945306	-0.1593008	-0.19784877	-0.15311986	-0.13434236	-0.08732014	-0.17343919	-0.09025068	-0.19677716	-0.09177213	-0.17081866	-0.15513968	-0.22393803	-0.15095651	-0.16442521	-0.20193335	-0.20173298	-0.16563247	-0.14135444	-0.16473895	-0.12653466	-0.18008263	-0.17604518	-0.1451946	-0.17326848	-0.1979432	-0.18460917	-0.1693727	-0.1956865	-0.20842627	-0.09895806	-0.13477115	-0.14758562	-0.14310162	-0.19890964	-0.17296715	-0.18254504	-0.15911154	-0.097101405	-0.19233716
ATF3	-0.19443135	-0.18187104	-0.17719118	-0.15608025	-0.20666716	-0.18827474	-0.18100789	-0.20291243	-0.1584007	-0.15091991	-0.14875041	-0.17665508	-0.15696374	-0.19620687	-0.15681165	0.15452994	-0.18091157	-0.18519896	0.15444046	-0.1210902	-0.18887907	-0.12834358	-0.21113819	-0.12737724	-0.19964693	0.14974542	-0.23457627	-0.14909384	-0.16672418	-0.1996654	-0.21768363	-0.14877802	-0.158062	-0.14334716	0.15105866	-0.18674701	-0.18602894	-0.16767761	-0.18892655	-0.18789467	-0.21475664	-0.18947828	-0.2426855	-0.24059327	-0.10475547	-0.14360958	0.14307094	0.15494104	-0.19801289	-0.15046719	-0.20281297	-0.18090598	-0.110266656	-0.21075368
ATF4	-0.115304895	-0.110389434	-0.10608487	-0.07754215	-0.11344046	-0.09283178	-0.087128036	-0.12936549	-0.091654316	-0.07241685	-0.08524396	-0.06869287	-0.084940195	-0.113884315	-0.0864714	-0.08505202	-0.10446769	-0.10683241	-0.07107214	-0.0442003	-0.12710522	0.060147516	-0.11655778	-0.08147411	-0.12093955	-0.085641585	-0.13356173	-0.10120047	-0.08661568	-0.11836694	-0.11481716	-0.08888885	-0.09049759	-0.08646043	-0.09243177	-0.10925667	-0.11833698	-0.08441645	-0.09975034	-0.10870454	-0.11942355	-0.11975646	-0.12804443	-0.113742255	-0.049283646	-0.10925967	-0.076026976	-0.077986464	-0.10931724	-0.08042963	-0.11419376	-0.09931589	-0.05296633	-0.11159866
ATF7	-0.1525108	-0.15909176	-0.14326942	-0.09819817	-0.16634229	-0.14871554	-0.13177137	-0.15770751	-0.15051165	-0.097577944	-0.14507164	-0.10674924	-0.13164584	-0.14913923	-0.108853996	-0.13778344	-0.1540936	-0.12469586	-0.1046368	-0.07264996	-0.13127883	-0.08302504	-0.16251743	-0.07379251	-0.13788976	-0.122421235	-0.17926489	-0.12160585	-0.1457311	-0.16765767	-0.16723303	-0.13684927	-0.105773464	-0.13321975	-0.09313757	-0.154285	-0.14373295	-0.12480678	-0.14408004	-0.1507936	-0.15542419	-0.13802198	-0.16121545	-0.16836889	-0.07318987	-0.10499064	-0.12096454	-0.12377454	-0.16179577	-0.1347956	-0.14704373	-0.11592806	-0.07843648	-0.1638143
ATRX	-0.0448637	-0.10925377	0.11574693	-0.0596572	-0.11575004	-0.08177855	-0.06486901	-0.08859793	0.061147444	0.08117971	-0.099493034	-0.073953375	-0.056981843	-0.12705694	0.06496347	-0.07917496	-0.10414757	0.04717638	-0.113352455	0.07091649	-0.060480483	-0.11229128	-0.14874153	-0.06015537	-0.054756735	0.06919932	-0.07752289	0.06609525	-0.075443	-0.07186687	-0.1291021	0.08587701	0.11221499	-0.06329302	-0.093074836	-0.096124955	0.06600515	-0.087832026	0.08290607	-0.0795081	-0.06653626	-0.118347906	-0.08518251	-0.120871745	-0.05863906	-0.08054002	-0.14089455	0.108754225	-0.06210812	-0.07056665	-0.050027598	-0.07535778	0.08682943	-0.10432577
BACH1	-0.17355579	-0.21957558	-0.16414069	-0.118054405	-0.18262821	-0.18085226	-0.17476504	-0.18405338	-0.18468542	-0.11172161	-0.18414697	-0.09328392	-0.16969869	-0.14887644	-0.13698255	-0.17907631	-0.19133821	-0.14526238	-0.16526616	-0.106181465	-0.1588417	-0.079489805	-0.2022277	-0.070216775	-0.13727187	-0.13367003	-0.2235011	-0.17392385	-0.15263017	-0.21460651	-0.20402461	-0.17409799	-0.12989536	-0.1731146	-0.11268539	-0.18259436	-0.1741841	-0.14500149	-0.17336015	-0.18933332	-0.175794	-0.16029038	-0.18761458	-0.20952609	-0.08741272	-0.13563803	-0.15278774	-0.1704279	-0.19306429	-0.18093349	-0.17658588	-0.1535262	-0.10153919	-0.2050972
BACH2	-0.10127173	-0.10301614	-0.10208188	-0.08923896	-0.12268705	-0.114159636	-0.10222367	-0.11022216	-0.09061746	-0.09653172	-0.110023685	-0.102808125	-0.097253844	-0.106656894	-0.10785245	-0.076959506	-0.1304874	-0.12201925	-0.09445928	-0.074076496	-0.09964497	-0.074013755	-0.09312094	-0.078232616	-0.107094795	-0.06579013	-0.13498808	-0.09318965	-0.12350118	-0.12067984	-0.10073363	-0.08111679	-0.11465697	-0.11146081	-0.10511231	-0.119294636	-0.08513682	-0.0662549	-0.09506897	-0.06820241	-0.118418746	-0.13373978	-0.11533691	-0.08010061	-0.052422922	-0.057495657	-0.07932707	-0.09590104	-0.09191199	-0.0888538	-0.107250616	-0.09498597	-0.07268336	-0.15217239
BAHD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BANP	-0.22353517	-0.24165152	-0.17538296	0.10016969	-0.22804336	-0.16972774	-0.18368992	-0.20830376	-0.20847225	-0.17432797	-0.21593134	-0.091958426	-0.21930796	-0.18933818	-0.12572478	-0.21250285	-0.23840488	-0.15641464	-0.18981017	-0.09372148	-0.19015642	0.14919844	-0.20033813	-0.09742468	-0.18621647	-0.20640786	-0.27613795	-0.20887406	-0.1861321	-0.21765795	-0.2231242	-0.21183479	-0.14761806	-0.18761294	-0.16738018	-0.2163662	-0.20891693	-0.1905962	-0.19192725	-0.24293834	-0.23698385	-0.18095885	-0.18856691	-0.230565	-0.11783861	-0.16747002	-0.19039181	-0.2081899	-0.22460218	-0.20054184	-0.20562744	-0.21982145	-0.12110558	-0.20231828
BAP1	-0.18379217	-0.23262945	-0.19308098	-0.11126586	-0.22691792	-0.16355857	-0.17865644	-0.19650339	-0.2130482	-0.12102311	-0.19836202	-0.10160967	-0.20207189	-0.19230579	-0.12835965	-0.18520316	-0.20554896	-0.13424957	-0.18943463	-0.08250089	-0.1432835	-0.081229955	-0.21739139	-0.07253625	-0.17715117	-0.17360651	-0.21200565	-0.1909132	-0.16805258	-0.22310206	-0.21213979	-0.20152044	-0.109116085	-0.19431657	-0.12591071	-0.1928725	-0.21243152	-0.17577046	-0.17476626	-0.22037901	-0.20464286	-0.16191901	-0.20682566	-0.23958188	-0.093235455	-0.12652278	-0.1789075	-0.1797382	-0.22033326	-0.19531038	-0.19773747	-0.14744061	-0.11307322	-0.19663727
BATF3	-0.09428083	-0.084745295	-0.07863331	-0.084963426	-0.1170642	-0.09638808	-0.08494916	-0.10337011	-0.07936966	-0.06747105	-0.07753271	-0.06714606	-0.088653855	-0.11201829	-0.09226617	-0.06967846	-0.096950516	-0.117497675	0.06154221	-0.06414839	-0.10703613	-0.060132243	-0.08855421	-0.09106277	-0.10557174	-0.060881793	-0.11285039	-0.0847165	-0.10220208	-0.10328584	-0.105016306	0.057102792	-0.084117696	-0.07846812	-0.07779142	-0.08439356	-0.08662741	-0.07857272	-0.090148926	-0.08242107	-0.114887685	-0.11146722	-0.10359682	-0.0909606	-0.047423426	0.052060302	-0.06600692	-0.06487405	-0.09899918	-0.0719294	-0.10554721	-0.09803928	-0.07433801	-0.1031941
BATF	-0.124254584	-0.12615341	-0.11666926	-0.09870573	-0.13338761	-0.12573223	-0.121987745	-0.14237809	-0.10638379	-0.09534197	-0.11104671	-0.10033337	-0.121250264	-0.14036745	-0.11998264	-0.09491782	-0.130305	-0.12100233	-0.09400219	-0.070721045	-0.11171717	-0.0726693	-0.12991562	-0.07947095	-0.1315654	-0.08623556	-0.15334868	-0.11272995	-0.13202721	-0.14276743	-0.12982324	-0.09531294	-0.10169898	-0.11566563	-0.08716704	-0.11631783	-0.102799766	-0.09687311	-0.113810584	-0.11077474	-0.13978526	-0.13017818	-0.14122915	-0.12797675	-0.07149908	-0.06287421	-0.08902881	-0.10638576	-0.12450672	-0.10255183	-0.12515034	-0.11676815	-0.08872021	-0.14478436
BCL11A	-0.16734067	-0.16425721	-0.16059053	-0.12231846	-0.1803124	-0.15626524	-0.15149908	-0.16382211	-0.14095509	-0.1210453	-0.1478566	-0.12313036	-0.14673673	-0.16374233	-0.13521895	-0.128299	-0.15714315	-0.15753645	-0.1286098	-0.096028216	-0.13016193	-0.095300786	-0.16658811	-0.0942606	-0.16212994	-0.124157816	-0.20085463	-0.13977496	-0.15705341	-0.18603094	-0.16525371	-0.13416557	-0.111849494	-0.1498036	-0.110268384	-0.15766315	-0.14422742	-0.12739217	-0.15620452	-0.15280454	-0.19001122	-0.15521464	-0.18918411	-0.17398216	-0.089139566	-0.08773305	-0.112633	-0.14294475	-0.16337603	-0.14044543	-0.1644015	-0.1396877	-0.11034617	-0.1706638
